gen,best_feasible_obj,best_overall_obj,feasible_ratio,mean_infeasible_violation,lambda,alpha,elapsed_sec,gen_time_sec
61,-6857.75,-6857.75,1,0,5248.01,5,0.00167033,2.7541e-05
62,-6857.75,-6857.75,1,0,5408.24,5,0.00169738,2.7042e-05
63,-6857.75,-6857.75,1,0,5570.89,5,0.00172504,2.7667e-05
64,-6857.75,-6857.75,1,0,5735.94,5,0.00175225,2.7208e-05
65,-6857.75,-6857.75,1,0,5903.41,5,0.00177913,2.6875e-05
66,-6857.75,-6857.75,1,0,6073.28,5,0.00180608,2.6958e-05
67,-6857.75,-6857.75,1,0,6245.56,5,0.00183346,2.7375e-05
68,-6857.75,-6857.75,1,0,6420.26,5,0.00186125,2.7792e-05
69,-6857.75,-6857.75,1,0,6597.36,5,0.00190375,4.25e-05
70,-6857.75,-6857.75,1,0,6776.87,5,0.00193063,2.6875e-05
71,-6857.75,-6857.75,1,0,6958.79,5,0.00195767,2.7042e-05
72,-6858.42,-6858.42,1,0,7143.12,5,0.00198396,2.6291e-05
73,-6858.42,-6858.42,1,0,7329.86,5,0.00201117,2.7209e-05
74,-6858.47,-6858.47,1,0,7519.01,5,0.00203837,2.7208e-05
75,-6858.47,-6858.47,1,0,7710.57,5,0.00206521,2.6833e-05
76,-6858.47,-6858.47,1,0,7904.54,5,0.00209208,2.6875e-05
77,-6858.47,-6858.47,1,0,8100.92,5,0.00212337,3.1292e-05
78,-6858.47,-6858.47,1,0,8299.71,5,0.0021505,2.7125e-05
79,-6858.49,-6858.49,1,0,8500.91,5,0.00217771,2.7208e-05
80,-6858.49,-6858.49,1,0,8704.51,5,0.00220546,2.775e-05
81,-6858.49,-6858.49,1,0,8910.53,5,0.00223221,2.675e-05
82,-6858.49,-6858.49,1,0,9118.96,5,0.002259,2.6792e-05
83,-6858.49,-6858.49,1,0,9329.79,5,0.00228542,2.6417e-05
84,-6858.49,-6858.49,1,0,9543.04,5,0.00231208,2.6666e-05
85,-6858.49,-6858.49,1,0,9758.69,5,0.00233846,2.6375e-05
86,-6858.49,-6858.49,1,0,9976.76,5,0.00236433,2.5875e-05
87,-6858.49,-6858.49,1,0,10197.2,5,0.00239012,2.5792e-05
88,-6858.49,-6858.49,1,0,10420.1,5,0.00241787,2.775e-05
89,-6858.49,-6858.49,1,0,10645.4,5,0.00244296,2.5083e-05
90,-6858.49,-6858.49,1,0,10873.1,5,0.00246879,2.5834e-05
91,-6858.49,-6858.49,1,0,11103.2,5,0.00249517,2.6375e-05
92,-6858.49,-6858.49,1,0,11335.7,5,0.00252121,2.6041e-05
93,-6858.49,-6858.49,1,0,11570.7,5,0.00254754,2.6334e-05
94,-6858.49,-6858.49,1,0,11808,5,0.00257367,2.6125e-05
95,-6858.59,-6858.59,1,0,12047.8,5,0.00260079,2.7125e-05
96,-6858.6,-6858.6,1,0,12289.9,5,0.00262796,2.7166e-05
97,-6858.6,-6858.6,1,0,12534.5,5,0.0026545,2.6542e-05
98,-6858.6,-6858.6,1,0,12781.5,5,0.00268083,2.6333e-05
99,-6858.6,-6858.6,1,0,13030.9,5,0.00270758,2.675e-05
100,-6858.6,-6858.6,1,0,13282.7,5,0.00273346,2.5875e-05
